BLOCK,BLOCK_TIMESTAMP,BLUNA_PRICE,BETH_PRICE
4209858,2021-08-20T14:20:59Z,29.305819997677247,3253.13968227
4209856,2021-08-20T14:20:45Z,29.305819997677247,3253.13968227
4209854,2021-08-20T14:20:30Z,29.27885887069366,3253.13968227
4209852,2021-08-20T14:20:16Z,29.27885887069366,3253.13968227
4209850,2021-08-20T14:20:02Z,29.285822822202253,3253.13968227
4209848,2021-08-20T14:19:48Z,29.285822822202253,3253.13968227
4209845,2021-08-20T14:19:28Z,29.285822822202253,3253.13968227
4209843,2021-08-20T14:19:15Z,29.233312921180648,3253.13968227
4209841,2021-08-20T14:19:01Z,29.233312921180648,3253.13968006
4209839,2021-08-20T14:18:48Z,29.22309382921804,3253.13968006
4209837,2021-08-20T14:18:34Z,29.22309382921804,3253.13968006
4209834,2021-08-20T14:18:14Z,29.190812435886738,3253.13968006
4209832,2021-08-20T14:18:00Z,29.190812435886738,3253.13968006
4209830,2021-08-20T14:17:47Z,29.16784106271883,3253.13968006
4209828,2021-08-20T14:17:34Z,29.16784106271883,3253.13968006
4209825,2021-08-20T14:17:13Z,29.16784106271883,3253.13968006
4209823,2021-08-20T14:17:00Z,29.15508354227268,3253.13968006
4209821,2021-08-20T14:16:47Z,29.15508354227268,3253.13968006
4209819,2021-08-20T14:16:33Z,29.133491247025106,3253.13968006
4209817,2021-08-20T14:16:19Z,29.133491247025106,3253.13968006
4209814,2021-08-20T14:15:58Z,29.0757572908618,3253.13968006
4209812,2021-08-20T14:15:45Z,29.0757572908618,3253.13968006
4209810,2021-08-20T14:15:32Z,29.075749535759474,3253.13968006
4209808,2021-08-20T14:15:19Z,29.075749535759474,3253.13968006
4209805,2021-08-20T14:14:59Z,29.075749535759442,3253.13968006
4209803,2021-08-20T14:14:46Z,29.074257908592802,3253.13968006
4209801,2021-08-20T14:14:33Z,29.074257908592802,3253.13968006
4209799,2021-08-20T14:14:19Z,29.049397583252432,3253.13968006
4209797,2021-08-20T14:14:05Z,29.049397583252432,3253.13968006
4209795,2021-08-20T14:13:51Z,29.0264226238223,3253.13968006
4209792,2021-08-20T14:13:30Z,29.0264226238223,3253.13955203
4209790,2021-08-20T14:13:17Z,29.03703116753545,3253.13955203
4209788,2021-08-20T14:13:03Z,29.03703116753545,3253.13955203
4209786,2021-08-20T14:12:50Z,29.03703116753545,3253.13955203
4209783,2021-08-20T14:12:30Z,29.047193497413314,3253.13955203
4209781,2021-08-20T14:12:15Z,29.047193497413314,3253.13955203
4209779,2021-08-20T14:12:02Z,29.038697419371857,3253.13955203
4209777,2021-08-20T14:11:48Z,29.038697419371857,3253.13899338
4209774,2021-08-20T14:11:29Z,29.053226600233792,3253.13899338
4209773,2021-08-20T14:11:17Z,29.053226600233792,3253.13899338
4209771,2021-08-20T14:11:04Z,29.053226600233792,3253.13899338
4209768,2021-08-20T14:10:44Z,29.021564106127673,3253.13899338
4209766,2021-08-20T14:10:31Z,29.021564106127673,3253.13899338
4209764,2021-08-20T14:10:17Z,29.020541801549644,3253.13899338
4209762,2021-08-20T14:10:03Z,29.020541801549644,3253.13899338
4209760,2021-08-20T14:09:47Z,29.006257248108703,3253.13899338
4209758,2021-08-20T14:09:34Z,29.006257248108703,3253.13899338
4209755,2021-08-20T14:09:14Z,29.006257248108703,3253.13899338
4209753,2021-08-20T14:08:56Z,29.00898951035588,3253.13899338
4209752,2021-08-20T14:08:48Z,29.00898951035588,3253.13899338
4209750,2021-08-20T14:08:34Z,28.996362442833764,3253.13899338
4209747,2021-08-20T14:08:14Z,28.996362442833764,3253.13899338
4209745,2021-08-20T14:08:01Z,28.996362442833657,3253.13899338
4209743,2021-08-20T14:07:48Z,28.990887362275082,3253.13910946
4209741,2021-08-20T14:07:34Z,28.990887362275082,3253.13910946
4209738,2021-08-20T14:07:14Z,28.960767863560495,3253.13910946
4209736,2021-08-20T14:07:00Z,28.960767863560495,3253.13910946
4209734,2021-08-20T14:06:45Z,28.93883386883082,3253.13910946
4209732,2021-08-20T14:06:30Z,28.93883386883082,3253.13910946
4209730,2021-08-20T14:06:16Z,28.8972577681389,3253.13910946
4209728,2021-08-20T14:06:02Z,28.8972577681389,3253.13910946
4209726,2021-08-20T14:05:49Z,28.8972577681389,3253.13910946
4209723,2021-08-20T14:05:28Z,28.883759061836752,3253.13910946
4209721,2021-08-20T14:05:15Z,28.883759061836752,3253.13910946
4209719,2021-08-20T14:05:02Z,28.874266439582023,3253.13910946
4209717,2021-08-20T14:04:48Z,28.874266439582023,3253.13910946
4209715,2021-08-20T14:04:33Z,28.77878784994806,3253.13910946
4209713,2021-08-20T14:04:20Z,28.77878784994806,3253.13910946
4209710,2021-08-20T14:03:59Z,28.77878784994806,3253.13910946
4209708,2021-08-20T14:03:45Z,28.723889578333385,3253.13910946
4209706,2021-08-20T14:03:32Z,28.723889578333385,3253.13910946
4209704,2021-08-20T14:03:19Z,28.887232489084667,3253.13910946
4209701,2021-08-20T14:02:59Z,28.887232489084667,3253.13910946
4209699,2021-08-20T14:02:45Z,28.90287034394152,3253.13910946
4209697,2021-08-20T14:02:30Z,28.90287034394152,3253.13922818
4209695,2021-08-20T14:02:16Z,28.932862230947066,3253.13922818
4209693,2021-08-20T14:02:02Z,28.932862230947066,3253.13922818
4209691,2021-08-20T14:01:48Z,28.932862230947066,3253.13922818
4209689,2021-08-20T14:01:35Z,28.96383295782354,3253.13922818
4209686,2021-08-20T14:01:15Z,28.96383295782354,3253.12933456
4209684,2021-08-20T14:01:02Z,28.967489111018644,3253.12933456
4209682,2021-08-20T14:00:48Z,28.967489111018644,3253.12933456
4209680,2021-08-20T14:00:35Z,28.965419613750576,3253.12933456
4209677,2021-08-20T14:00:14Z,28.965419613750576,3253.12933456
4209675,2021-08-20T14:00:00Z,28.965419613750576,3253.12933456
4209673,2021-08-20T13:59:47Z,28.99912824651169,3253.12933456
4209671,2021-08-20T13:59:28Z,28.99912824651169,3253.12933456
4209669,2021-08-20T13:59:15Z,28.987412637430925,3253.12933456
4209667,2021-08-20T13:59:02Z,28.987412637430925,3253.12933456
4209665,2021-08-20T13:58:48Z,28.985185638960257,3253.12933456
4209663,2021-08-20T13:58:35Z,28.985185638960257,3253.12933456
4209661,2021-08-20T13:58:21Z,28.985185638960004,3253.12933456
4209658,2021-08-20T13:57:58Z,28.998276995194818,3253.12933456
4209656,2021-08-20T13:57:44Z,28.998276995194818,3253.12933456
4209654,2021-08-20T13:57:31Z,29.019709671426266,3253.12933456
4209652,2021-08-20T13:57:18Z,29.019709671426266,3253.12933456
4209650,2021-08-20T13:57:05Z,29.04014047618893,3253.12933456
4209647,2021-08-20T13:56:47Z,29.04014047618893,3253.12933456
4209645,2021-08-20T13:56:33Z,29.04233210707994,3253.12933456
4209643,2021-08-20T13:56:18Z,29.04233210707994,3253.12933456
4209641,2021-08-20T13:56:04Z,29.04233210707994,3253.12933456
4209639,2021-08-20T13:55:50Z,29.05822997938445,3246.98352306
4209636,2021-08-20T13:55:30Z,29.05822997938445,3246.98352306
4209634,2021-08-20T13:55:17Z,29.00996113680339,3246.98352306
4209632,2021-08-20T13:55:03Z,29.00996113680339,3246.98352306
4209630,2021-08-20T13:54:48Z,29.00666216788473,3246.98352306
4209627,2021-08-20T13:54:28Z,29.00666216788473,3246.98352306
4209625,2021-08-20T13:54:15Z,29.005250139260994,3246.98352306
4209623,2021-08-20T13:54:02Z,29.005250139260994,3246.98352306
4209621,2021-08-20T13:53:49Z,29.005250139260994,3246.98352306
4209619,2021-08-20T13:53:35Z,29.003925819038283,3246.98352306
4209616,2021-08-20T13:53:15Z,29.003925819038283,3246.98352306
4209614,2021-08-20T13:53:01Z,29.032305210636913,3246.98352306
4209612,2021-08-20T13:52:47Z,29.032305210636913,3246.98352306
4209610,2021-08-20T13:52:33Z,29.03837567656812,3246.98352306
4209607,2021-08-20T13:52:13Z,29.03837567656812,3246.98352306
4209605,2021-08-20T13:52:00Z,29.03837567656812,3246.98352306
4209603,2021-08-20T13:51:46Z,29.05028204926507,3246.98352306
4209601,2021-08-20T13:51:32Z,29.05028204926507,3246.98352306
4209599,2021-08-20T13:51:18Z,29.058455894476495,3246.98352306
4209596,2021-08-20T13:50:57Z,29.058455894476495,3246.98352306
4209594,2021-08-20T13:50:44Z,29.040184775639258,3246.98352306
4209592,2021-08-20T13:50:30Z,29.040184775639258,3246.98352306
4209590,2021-08-20T13:50:16Z,29.073404795244976,3246.98352306
4209588,2021-08-20T13:50:02Z,29.073404795244976,3246.98352306
4209586,2021-08-20T13:49:47Z,29.073404795244976,3246.98352306
4209584,2021-08-20T13:49:34Z,29.053315918503273,3246.98352306
4209581,2021-08-20T13:49:14Z,29.053315918503273,3246.98352306
4209579,2021-08-20T13:49:00Z,29.056265624587578,3246.98352306
4209577,2021-08-20T13:48:47Z,29.056265624587578,3246.98352306
4209575,2021-08-20T13:48:33Z,29.024527937232396,3246.98352306
