blocktime,change,cum_sum,incentives,stSOL_price,incentive_price,stSOL_usd,incentives_usd
2021-10-12,-12534.295060865994,1012320.3968681438,0.0,145.01101309267003,3.805050730976237,-1817610.8251786279,0.0
2021-10-13,4507.904619379999,1016828.3014875238,0.0,150.52315578823308,3.5360803740836166,678544.0293014311,0.0
2021-10-14,1588.7514906970023,1018417.0529782209,0.0,148.74867520611326,3.725558123888516,236324.67947291667,0.0
2021-10-15,8881.943958821998,1027298.9969370428,0.0,150.07132205035228,4.139435413727106,1332925.0722775569,0.0
2021-10-16,-25220.954994186992,1002078.0419428558,0.0,163.42678284551627,4.033363612595385,-4121779.5349915368,0.0
2021-10-17,-45468.42898643,956609.6129564258,0.0,157.81579505784637,3.737817276106773,-7175636.270524679,0.0
2021-10-18,-2694.2091913000013,953915.4037651258,0.0,158.9391814477123,3.558272922620746,-428215.4035141251,0.0
2021-10-19,-42816.308912618995,911099.0948525068,0.0,157.0941800641442,3.295389861196961,-6726192.942000991,0.0
2021-10-20,1348.4755038849994,912447.5703563917,0.0,156.12350907473245,3.413603586002973,210528.72756784412,0.0
2021-10-21,74530.44283284199,986978.0131892337,0.0,174.61426699240593,3.806661373927077,13014078.643876119,0.0
2021-10-22,7008.243665149002,993986.2568543827,0.0,187.74515621730387,3.474657668087633,1315763.8017223296,0.0
2021-10-23,2028.8699667570054,996015.1268211397,0.0,198.6793729587388,3.5319990881248717,403094.6128100991,0.0
2021-10-24,5963.002085036005,1001978.1289061757,0.0,198.42503821215087,3.6343754539633264,1183208.9165824046,0.0
2021-10-25,10796.675896642999,1012774.8048028187,0.0,204.15749446902453,3.4787295330408896,2204222.2996527436,0.0
2021-10-26,27243.800192934017,1040018.6049957527,0.0,213.0019642431225,3.2793819734291154,5802982.954542105,0.0
2021-10-27,2031.7725728529997,1042050.3775686057,0.0,201.93526405140975,3.534268816535632,410286.53099148266,0.0
2021-10-28,5722.553640226002,1047772.9312088317,0.0,185.8116942026973,3.2130270075628005,1063317.3870562064,0.0
2021-10-29,5596.209893608,1053369.1411024397,0.0,195.98022772606572,3.490901001591678,1096746.4893521578,0.0
2021-10-30,5662.920602866999,1059032.0617053066,0.0,201.14728326352693,3.5549231698768278,1139081.0946037509,0.0
2021-10-31,-10564.240131542998,1048467.8215737636,0.0,195.0221712365919,3.431231401075986,-2060261.0479182547,0.0
2021-11-01,-4376.1117671019965,1044091.7098066616,0.0,203.799561463312,3.261472109457694,-891849.6590498262,0.0
2021-11-02,12832.582612031998,1056924.2924186937,0.0,207.9864565,3.169791430274997,2669003.3852200494,0.0
2021-11-03,-553.3233256009964,1056370.9690930927,0.0,220.71617699561463,2.9831518886482646,-122127.40906915163,0.0
