borrower,bETHcollateral,percent,ust_loan,bLunacollateral
terra1hqmrmwxt44qs7hr8queza29z8gmgt2d29f5nmh,179085115.0,0.5515563846083508,368473489886,337418.0
terra1qd5els44cmuvgjs9h0ms3e34g7zc0q323xapyn,177999996.0,0.5536439157627703,993507876562,29767502621.0
terra197ss3s9zm5sw4wh06akftu2jsjex2lx68vkuuj,175951761.0,0.5557074258246607,192701219745,1598899424.0
terra1yg04sp2sv9g4ds4gh4k57ch7ffqrveuf6pesa2,172999999.0,0.5577363184973719,270409569992,0.0
terra1ykxgawqale0gd9wl5amseh5lpaeper3tenq7pv,171049996.0,0.5597423421133125,1600009948562,68084012738.0
terra1nyvrnlhnvrujmptj6060hluvvqjyssftcnaheq,165019998.0,0.5616776477013375,445729714206,5000805503.0
terra15qklufyzktnc8hhaj8j7263f26ydd25dl6nzaw,164999997.0,0.5636127187235673,331032533841,132766989.0
terra1h69v6zum5yx89xsght7l9qeclm54zp8ec6ukj4,161728590.0,0.5655094236548716,1102367500134,42610117873.0
terra1hrfeehxkpcp54d8s50denfm93qcpvvypk4lgxn,160011073.0,0.5673859860562526,250067527246,0.0
terra1xd42lrv796xgdvfjxwxd0paqerdnp9nwwsu5ge,159999999.0,0.5692624185850464,203150375233,0.0
terra18dn0ue8jju8v4de6m6qtwv75hr68nhvft6exc0,157248040.0,0.5711065769549792,345995490844,10016574398.0
terra1f4534ev7a4yun59ksxxejpmkjm4wfk894a04y9,156178249.0,0.5729381891333872,312566775716,8955607569.0
terra1mt8csxafzdjdqxx09cyc4c3tunn2drqxepgf7x,155999970.0,0.5747677105085647,422467210493,4888847629.0
terra1agf8794ql04yw7fa9t59z6nu4j2383qhdanmev,155412040.0,0.5765903368150949,470001161972,17000195729.0
terra1mg4tey7737srqw3gupsaalw73un04m4qaf6xqt,154999999.0,0.5784081308269975,251326445673,0.0
terra19nsz3fsvd36uwfpgxf25hws6nx03z92797sjue,154022338.0,0.5802144591206876,204080131469,0.0
terra17mz39hmveddfm69x2la83gv93x5t9sxpw85rkp,153081160.0,0.5820097495579675,309955501775,1401427437.0
terra1nhw34yuc04htz70nmfp8yn7arudy7pxwuv0ev6,150099997.0,0.5837700777998612,909438262626,28190217532.0
terra1eu3dp40ra9rj4kkufd44fu3h73neadjvwceqzc,150000000.0,0.5855292333066001,261047154222,0.0
terra1tnz6f38fvs0g3atzyklxhc70xe3v5cv663jmzr,149999998.0,0.5872883887898838,187706160487,0.0
terra17ytk9ty3gsg4955wh8pwuguvrr2r0ffr5tr6vl,145143624.0,0.5889905901594014,258309981244,0.0
terra15lwysdvu4gqwdkd8vl7qh992tpz5dwlc8307t8,144999999.0,0.5906911071375214,244145590464,5847484469.0
terra156nl8aaulf8gfquru0dy6jf0628getc0mnk465,144999899.0,0.5923916229428711,150675567987,0.0
terra1aqkwhnf3sq8jmwuvcrmxe9a9jteje8kgl4p3aq,144032625.0,0.5940807948456631,303960739051,6054471499.0
terra14nhfcwdj7wf7fepuk0jfmzar7kcglpnmxp7d08,139969996.0,0.5957223214406073,264719570709,1718879030.0
terra15ltl2cyxysw7uctzs0ltf4gr7u9a247layqdpe,138017019.0,0.597340944100591,470000414522,12492091495.0
terra1x0n68v5nq0gxa83wyjg2dnp0zv5kz6g98fca3z,133583492.0,0.5989075716709992,191756858700,0.0
terra13nqgg6uyckgwla02nwcj202g7r85tnkhsvx37n,132999999.0,0.60046735620858,179317760606,167145199.0
terra1g3alvunwfmhltkgvt2n7svkmnr9mj5hysurn9z,132178593.0,0.6020175075402397,576023593538,16929156308.0
terra1fjquyucxhek7ut7h596mwcrhfllyr8mvurfpmx,131565595.0,0.603560469813184,451642039795,15010875976.0
terra1zdrghssxastng2leq0zjarypvx4juzm9zkn6wx,126999996.0,0.6050498880953122,615274707086,19496023275.0
terra16w9t2lnrqajgqx0r3l9n94ghy7drc5mz7dsmzz,125499996.0,0.606521714822373,333439873057,7929959296.0
terra1jqv7flnawudmq4j20ef2g8l8la4k2c87j04mae,121731074.0,0.607949340750162,243155736961,0.0
terra1xlc9fdap7tkdxsr56g5z9m2d0ur6fhed84gd0n,121406662.0,0.6093731620702426,360529861912,6253819019.0
terra12jck93238fxssfe59gzvmyd7z85lf4guttv75k,119999999.0,0.6107804864639061,120000000000,0.0
terra1g6054czmwvle0rahwazkdpmtllyfyhnvjr94hn,119999999.0,0.6121878108575696,1887030489612,101652120186.0
terra1yzrtfl574kzsge7jywfpjnnnjng4xdtsnxt3v9,119999999.0,0.6135951352512331,175295876488,0.0
terra1jvvcgtyxr46506v9ngn3wmr6ygra0h67zjzwz3,119712878.0,0.6149990923749749,347682621132,11684578358.0
terra12675ej3grek84zvg5kw363f7tvu3h8m3ymdasu,119499996.0,0.6164005528817661,34303341769,0.0
terra1syzaf6pdas7lhkjc54m3wvrgm4an3r7sl99hl2,118091992.0,0.6177855007352899,224352362969,356824693.0
terra1xpnnkef8e3hlq6xqnyvajud7hhq0lfz50m3ut0,116966375.0,0.6191572476865203,688496739936,20000000000.0
terra1hkr7klt2c0v95ya77avvsym87x5gp2tf6wwmjg,116494898.0,0.6205234652953449,0,0.0
terra1zv03f8hrljzmdlfq00vg9kvqay6g5jcqakqd6t,116401614.0,0.6218885888970876,222699310182,5278000000.0
